Car Model,KM Driven,Fuel Type,Transmission Type,Ownership,Price(in Lakhs),Car Age
Ford Figo Aspire,110000,Diesel,Manual,1,1.72,9
Maruti Dzire,24290,Petrol,Manual,1,4.73,7
Hyundai i20 Active,160000,Diesel,Manual,2,2.5,10
Maruti Celerio,25190,Petrol,Manual,1,3.5,8
Chevrolet Cruze,110000,Diesel,Auto,3,2.5,12
Volkswagen Passat,79650,Petrol,Manual,2,1.0,15
Volkswagen Polo,95430,Diesel,Manual,1,1.33,15
Maruti Swift,110000,Petrol,Manual,1,4.6,6
Tata NEXON,120000,Diesel,Manual,1,5.0,6
Maruti Alto K10,69150,Petrol,Manual,1,1.84,14
Ford Ecosport,43380,Petrol,Manual,1,5.14,6
Maruti Baleno,22930,Petrol,Auto,1,8.0,2
Ford Ecosport,150000,Diesel,Manual,3,2.39,12
Volkswagen Ameo,130000,Diesel,Manual,1,3.23,9
Hyundai Eon,53460,Petrol,Manual,1,2.67,8
KIA CARENS,42480,Diesel,Manual,1,12.47,1
Maruti Swift,110000,Petrol,Manual,2,1.15,15
Hyundai i20 Active,97600,Petrol,Manual,1,3.66,10
Tata NEXON,42810,Diesel,Manual,2,7.5,5
Hyundai Elite i20,78500,Diesel,Manual,1,5.13,8
Jeep Compass,140000,Diesel,Manual,2,6.19,7
Mahindra TUV300,87880,Diesel,Manual,2,5.39,8
Hyundai VENUE,20400,Petrol,Manual,1,8.49,2
Honda WR-V,240000,Diesel,Manual,1,5.2,8
Hyundai Elite i20,110000,Diesel,Manual,1,4.51,9
Maruti S Cross,260000,Diesel,Manual,1,4.0,10
Renault Duster,110000,Diesel,Manual,2,3.51,9
Skoda KUSHAQ,59930,Petrol,Manual,2,11.0,2
Ford Figo Aspire,63910,Diesel,Manual,1,4.55,7
Toyota YARIS,77840,Petrol,Auto,2,4.5,7
Mahindra Bolero,21170,Diesel,Manual,1,10.0,2
Hyundai ALCAZAR,100000,Diesel,Manual,1,14.47,3
Tata Harrier,65310,Diesel,Manual,1,9.87,6
Tata Harrier,270000,Diesel,Manual,1,8.64,6
Jeep Compass,130000,Diesel,Manual,1,10.31,7
MG HECTOR,150000,Diesel,Manual,1,10.5,4
Honda City,120000,Petrol,Manual,3,4.5,9
Maruti Baleno,210000,Petrol,Manual,1,3.4,8
Hyundai Creta,110000,Petrol,Manual,2,7.0,9
Hyundai i20,100000,Diesel,Manual,3,2.57,11
Honda Amaze,110000,Diesel,Manual,3,1.5,12
Hyundai Eon,51650,Petrol,Manual,3,1.55,11
Maruti Baleno,16720,Petrol,Manual,1,6.99,2
Maruti Ciaz,150000,Petrol,Manual,1,4.25,8
Maruti Alto 800,68940,Petrol,Manual,2,1.97,10
Hyundai Verna,82080,Diesel,Manual,2,6.25,7
Tata Harrier,43780,Diesel,Auto,1,16.85,2
Ford Figo Aspire,89170,Diesel,Manual,1,2.0,10
Volkswagen Polo,75870,Petrol,Manual,1,3.0,10
Maruti Swift Dzire,110000,Petrol,Manual,1,1.82,15
Tata Nano,34120,Petrol,Manual,3,1.38,11
Tata TIGOR,23660,Petrol,Manual,1,6.69,3
Maruti Swift,130000,Diesel,Manual,3,2.82,11
Hyundai i20,94150,Petrol,Manual,4,1.77,12
Renault TRIBER,33010,Petrol,Manual,1,4.86,5
Hyundai NEW SANTRO,70830,Petrol,Manual,1,2.89,7
Hyundai Eon,89710,Petrol,Manual,3,1.35,13
Maruti IGNIS,41140,Petrol,Manual,1,3.81,7
Maruti Ritz,100000,Petrol,Manual,2,1.94,12
Renault Duster,93880,Diesel,Manual,2,1.8,13
Honda City,79740,Petrol,Manual,1,1.3,15
Maruti Ciaz,120000,Petrol,Manual,3,3.14,10
Maruti Wagon R 1.0,49970,Petrol,Manual,2,1.38,13
Tata NEXON,190000,Diesel,Manual,1,5.0,4
Maruti Swift,87070,Petrol,Manual,2,4.45,7
Volkswagen Polo,180000,Diesel,Manual,4,1.11,14
Tata NEXON,190000,Diesel,Manual,1,6.98,4
Maruti Eeco,4450,Petrol,Manual,2,5.53,2
Honda City,88350,Diesel,Manual,2,3.91,10
Maruti Wagon R 1.0,88780,Petrol,Manual,3,2.94,7
Mahindra KUV 100 NXT,24090,Petrol,Manual,1,3.58,8
Hyundai Grand i10,130000,Diesel,Manual,3,3.13,8
Maruti Ritz,130000,Diesel,Manual,2,2.09,11
Toyota Etios,400000,Diesel,Manual,1,2.5,9
Maruti Alto K10,100000,Petrol,Manual,2,1.51,13
Hyundai Creta,130000,Diesel,Manual,2,5.85,8
Mahindra Thar,79230,Diesel,Manual,1,4.55,7
Volkswagen Polo,56400,Petrol,Manual,1,3.85,11
Maruti Ritz,89750,Petrol,Manual,4,1.15,14
Hyundai Elite i20,140000,Diesel,Manual,2,3.3,10
Ford FREESTYLE,29090,Petrol,Manual,1,5.41,5
Hyundai Creta,130000,Petrol,Auto,1,7.44,7
Maruti Ciaz,120000,Diesel,Manual,3,3.03,10
Hyundai Creta,140000,Diesel,Manual,1,8.0,6
Maruti S Cross,100000,Diesel,Manual,2,4.5,7
Audi A6,120000,Diesel,Auto,3,4.6,14
Mahindra Thar,76920,Diesel,Manual,1,11.5,4
Mahindra BOLERO NEO,92760,Diesel,Manual,2,7.4,3
Hyundai Verna,110000,Diesel,Manual,3,3.29,11
Maruti BREZZA,65710,Petrol,Manual,1,8.16,3
Ssangyong Rexton,94610,Diesel,Auto,5,3.27,12
MG HECTOR PLUS,60890,Diesel,Manual,1,18.16,3
Hyundai VENUE,49900,Petrol,Manual,1,8.83,3
Maruti Ciaz,170000,Diesel,Manual,2,3.55,9
Toyota Innova,60350,Diesel,Manual,2,5.24,12
Toyota Innova Crysta,150000,Diesel,Manual,1,12.9,8
Toyota Innova Crysta,190000,Diesel,Manual,1,10.5,8
Maruti XL6,50190,Petrol,Manual,1,10.99,2
Maruti BREZZA,67370,Petrol,Manual,1,10.0,2
Jeep Compass,100000,Diesel,Manual,1,10.0,6
MG HECTOR PLUS,35440,Diesel,Manual,1,17.5,2
Audi A3,67100,Diesel,Auto,3,14.1,10
Maruti Vitara Brezza,81940,Diesel,Auto,2,5.08,9
KIA SONET,93560,Diesel,Manual,1,10.5,3
Audi Q5,79440,Diesel,Auto,2,10.5,12
Tata ALTROZ,31150,Petrol,Manual,1,6.5,4
Hyundai ALCAZAR,72970,Diesel,Auto,2,16.59,3
Honda Amaze,92310,Petrol,Manual,1,4.69,6
Maruti Alto K10,84390,Petrol,Manual,1,2.28,10
Volkswagen Polo,75390,Petrol,Manual,2,3.99,6
Honda Amaze,35950,Petrol,Manual,1,6.4,2
Tata Tiago,66060,Petrol,Manual,1,3.09,7
Tata NEXON,20370,CNG,Manual,1,7.61,2
Hyundai VENUE,36180,Petrol,Manual,1,6.86,3
Jeep Compass,95730,Diesel,Manual,1,6.93,8
Hyundai Elite i20,32600,Petrol,Manual,2,4.25,9
Tata ALTROZ,19330,Petrol,Manual,1,6.01,4
Hyundai Grand i10,96570,Diesel,Manual,2,2.81,9
Maruti Alto,72000,Petrol,Manual,1,3.23,3
Maruti Grand Vitara,22520,Petrol,Manual,1,10.8,1
Skoda Rapid,71510,Diesel,Manual,2,4.01,8
Maruti Swift Dzire,54930,Petrol,Manual,1,3.15,11
Maruti Baleno,69580,Petrol,Manual,2,4.8,6
Tata PUNCH,24840,Petrol,Auto,2,5.01,3
Renault Kwid,50740,Petrol,Manual,1,3.18,4
Hyundai NEW I20,52360,Petrol,Manual,2,5.78,5
Tata ALTROZ,69810,Petrol,Manual,1,4.79,5
Tata ALTROZ,42830,Petrol,Manual,1,5.9,4
Hyundai Verna,150000,Diesel,Manual,2,6.27,7
Renault Kwid,97130,Petrol,Manual,1,2.0,9
KIA SELTOS,170000,Petrol,Manual,1,7.99,6
Mahindra Scorpio,160000,Diesel,Manual,1,11.1,5
Mahindra Scorpio,140000,Diesel,Manual,3,2.0,14
Maruti Wagon R 1.0,33920,Petrol,Manual,1,3.27,7
Maruti Wagon R 1.0,69610,Petrol,Manual,4,2.23,10
Hyundai Creta,140000,Diesel,Manual,3,5.62,9
Maruti Alto 800,92930,Petrol,Manual,2,2.67,8
Maruti Dzire,290000,Diesel,Manual,1,5.16,7
Tata Tiago,49000,Petrol,Manual,2,4.15,3
Tata NEXON,110000,Diesel,Manual,2,5.44,7
Tata Safari Storme,160000,Diesel,Manual,2,4.69,11
Mahindra TUV300,76150,Diesel,Manual,1,7.58,5
Toyota Innova,180000,Diesel,Manual,5,5.72,12
Renault Kwid,39110,Petrol,Manual,1,4.21,4
Mahindra NUVOSPORT,88810,Diesel,Manual,2,3.65,9
Tata NEXON,58880,Petrol,Manual,1,7.5,3
Maruti New Wagon-R,34620,Petrol,Manual,1,6.06,3
Toyota URBAN CRUISER,40620,Petrol,Manual,1,6.89,5
Maruti BREZZA,10150,Petrol,Manual,1,8.15,1
Mahindra XUV500,100000,Diesel,Manual,3,3.41,13
Nissan Terrano,220000,Diesel,Manual,1,6.99,7
Maruti Wagon R 1.0,36830,Petrol,Manual,2,3.1,11
Maruti FRONX,9480,Petrol,Auto,1,8.7,2
Skoda Fabia,170000,Petrol,Manual,3,1.42,13
Nissan Terrano,140000,Diesel,Manual,2,3.05,11
Renault Kwid,45900,Petrol,Manual,1,2.8,9
Maruti Alto K10,51580,Petrol,Manual,2,2.5,10
Ford Ecosport,62200,Diesel,Manual,1,6.5,7
Maruti Swift,130000,Diesel,Manual,1,1.69,15
Maruti Dzire,71930,Petrol,Manual,1,4.2,7
Tata Tiago,42650,Petrol,Manual,1,4.75,6
Maruti New Wagon-R,47440,Petrol,Manual,2,3.76,5
Hyundai Creta,65550,Diesel,Manual,1,6.8,10
Tata ALTROZ,31060,Petrol,Manual,1,5.5,3
Hyundai Grand i10,33170,Petrol,Manual,1,4.5,6
Hyundai Creta,65480,Diesel,Auto,2,9.5,7
Hyundai Elite i20,48210,Petrol,Manual,1,5.7,9
Hyundai Creta,52300,Diesel,Manual,1,9.5,6
Mahindra Bolero,63220,CNG,Manual,1,7.6,6
Honda Amaze,83870,Diesel,Manual,2,4.05,11
Chevrolet Beat,73370,Petrol,Manual,2,1.52,14
Maruti Baleno,80330,Petrol,Manual,2,4.75,7
Maruti Swift Dzire,110000,Diesel,Manual,1,5.28,12
Maruti Alto 800,16230,Petrol,Manual,2,2.75,9
Hyundai Grand i10,70860,Petrol,Manual,2,4.55,8
Hyundai i20 Active,130000,Diesel,Manual,1,6.5,7
Honda Amaze,76400,Diesel,Manual,1,3.72,12
Hyundai i20 Active,54850,Petrol,Manual,1,6.5,8
Tata NEXON,25110,Petrol,Manual,1,8.05,3
Hyundai NEW SANTRO,51890,Petrol,Manual,1,4.98,6
Hyundai Xcent,77010,Petrol,Manual,1,4.53,11
Renault Captur,48570,Diesel,Manual,2,7.74,7
Hyundai i10,71420,Petrol,Manual,1,2.3,13
Hyundai i10,81870,Petrol,Manual,2,2.45,16
Maruti Swift,120000,Diesel,Manual,2,4.31,11
Hyundai Grand i10,1019999,Diesel,Manual,1,1.84,10
Honda Amaze,57120,Petrol,Manual,1,5.5,7
Honda Jazz,88080,Petrol,Auto,2,2.25,10
Maruti Alto K10,71720,Petrol,Manual,2,3.4,7
Maruti Wagon R 1.0,80770,Petrol,Manual,2,2.9,9
Toyota Corolla Altis,100000,Diesel,Manual,1,3.15,14
Hyundai Grand i10,61600,Petrol,Manual,2,3.4,10
Renault Duster,100000,Diesel,Manual,3,2.14,12
Renault Kwid,12120,Petrol,Manual,1,3.8,3
Hyundai Elite i20,82980,Diesel,Manual,1,5.45,9
Honda Brio,51410,Petrol,Manual,2,2.6,12
Skoda Laura,96880,Diesel,Auto,1,2.25,14
Maruti Swift,18890,Petrol,Manual,1,6.68,3
Maruti Ertiga,180000,Diesel,Manual,1,4.5,10
Maruti Swift,95300,Diesel,Manual,2,3.0,13
Mahindra Thar,34340,Diesel,Auto,1,16.0,3
Toyota Etios,71790,Diesel,Manual,2,3.25,12
Honda Brio,33180,Petrol,Manual,1,2.71,12
Renault Kwid,78230,Petrol,Manual,2,3.0,6
Hyundai Elite i20,70370,Petrol,Manual,1,4.8,10
Volkswagen Vento,48830,Petrol,Manual,1,7.69,3
Hyundai GRAND I10 NIOS,35650,Petrol,Manual,1,5.1,4
Honda Jazz,36460,Petrol,Manual,1,4.18,8
Hyundai Verna,56550,Diesel,Manual,2,10.5,5
Hyundai Elite i20,74500,Petrol,Manual,2,5.25,8
Hyundai Creta,40440,Diesel,Auto,1,16.99,3
Toyota Fortuner,150000,Diesel,Auto,2,10.5,13
Maruti Alto K10,97820,Petrol,Auto,2,3.6,8
Maruti Swift,6470,Diesel,Manual,1,6.25,7
KIA SELTOS,68390,Diesel,Manual,1,9.1,6
Ford Ecosport,60800,Diesel,Manual,3,5.1,7
Maruti Vitara Brezza,45630,Petrol,Manual,1,7.02,4
Toyota Fortuner,200000,Diesel,Auto,1,14.25,11
Renault Duster,100000,Diesel,Manual,1,2.98,12
Maruti New Wagon-R,35960,Petrol,Manual,1,4.5,3
Skoda Rapid,91250,Diesel,Manual,1,5.14,9
Toyota Innova Crysta,140000,Diesel,Manual,2,12.24,8
KIA SONET,16710,Petrol,Auto,1,10.0,2
Toyota Innova Crysta,77100,Diesel,Auto,1,14.7,8
Hyundai NEW I20,27940,Diesel,Manual,1,9.13,3
Tata Safari Storme,94460,Diesel,Manual,1,3.63,12
Mercedes Benz GL Class,150000,Diesel,Auto,1,8.14,13
Audi Q7,160000,Diesel,Auto,2,7.24,14
Volkswagen Vento,92050,Diesel,Manual,2,2.1,15
Maruti Alto 800,71720,Petrol,Manual,1,2.21,7
Hyundai Verna,150000,Diesel,Manual,2,1.23,14
Tata Harrier,77160,Diesel,Auto,2,15.72,5
Hyundai Verna,100000,Diesel,Manual,3,1.96,13
Renault TRIBER,47380,Petrol,Manual,1,5.69,2
Maruti Wagon R 1.0,130000,Petrol,Manual,1,2.25,11
Volkswagen Vento,140000,Diesel,Manual,3,1.49,14
Hyundai i20,110000,Petrol,Manual,2,2.69,12
Hyundai Grand i10,88750,Diesel,Manual,2,2.7,10
